,Id,Speed,RPM,Engine Load,Gear No._DBSCAN
297,141080,23,920,35,0.0
298,132870,23,920,35,0.0
299,132914,23,920,36,0.0
300,132913,23,1447,21,2.0
301,132912,19,882,82,0.0
302,132911,23,1646,65,2.0
303,132910,25,1756,16,2.0
304,132950,23,1604,5,2.0
305,132949,15,864,29,0.0
306,132948,8,904,37,0.0
307,132947,3,914,36,0.0
308,132942,1,915,36,0.0
309,132996,0,771,45,0.0
310,132995,0,776,48,0.0
311,132994,0,776,50,0.0
312,132993,0,777,50,0.0
313,132990,0,778,50,0.0
314,133024,0,781,49,0.0
315,133023,0,782,50,0.0
316,133022,0,779,50,0.0
317,133021,0,783,50,0.0
318,133020,0,1008,74,0.0
319,141117,2,841,58,0.0
320,133049,2,841,58,0.0
321,133048,4,925,36,0.0
322,141116,4,925,36,0.0
323,141115,0,765,49,0.0
324,133047,0,765,49,0.0
325,141114,0,774,51,0.0
326,133046,0,774,51,0.0
327,133045,0,780,50,0.0
328,141113,0,780,50,0.0
329,141155,0,779,50,0.0
330,141154,0,782,50,0.0
331,141153,0,780,50,0.0
332,141152,0,782,50,0.0
333,141148,0,781,51,0.0
334,141192,0,781,50,0.0
335,133130,2,1387,29,0.0
336,141190,2,1387,29,0.0
337,141188,10,846,36,0.0
338,133129,10,846,36,0.0
339,133128,7,870,34,0.0
340,141187,7,870,34,0.0
341,141186,11,1357,38,-1.0
342,133127,11,1357,38,-1.0
343,133169,14,1807,7,-1.0
344,133168,6,840,34,0.0
345,133167,1,900,35,0.0
346,133166,0,735,56,0.0
347,133162,2,900,61,0.0
348,133214,7,898,36,0.0
349,133213,2,914,35,0.0
350,133212,0,750,53,0.0
351,133211,2,934,0,0.0
352,133210,0,910,34,0.0
353,141221,0,744,31,0.0
354,141220,0,775,49,0.0
355,141219,0,778,50,0.0
356,141218,0,778,59,0.0
357,141214,4,923,53,0.0
358,141254,8,896,32,0.0
359,141286,8,896,32,0.0
360,133282,6,896,38,0.0
361,133281,0,0,35,0.0
362,133280,0,754,51,0.0
363,133279,0,754,49,0.0
364,133278,0,927,67,0.0
365,133275,0,1022,15,0.0
366,133300,8,1018,59,-1.0
367,133299,9,907,23,0.0
368,133298,7,921,32,0.0
369,133323,6,928,34,0.0
370,133322,4,918,37,0.0
371,133321,3,862,63,0.0
372,133320,7,966,28,0.0
373,133319,10,1265,5,-1.0
374,133358,8,1003,16,-1.0
375,133357,7,917,30,0.0
376,133356,2,912,34,0.0
377,133355,0,903,34,0.0
378,133354,0,764,50,0.0
379,133389,2,913,56,0.0
380,133388,4,921,27,0.0
381,133387,1,913,36,0.0
382,133386,0,767,44,0.0
383,133385,0,776,48,0.0
384,133429,0,781,49,0.0
